"REQUESTID","RECORDTYPE"
"RCSCI1_2020-09-09 22:45:03.856.21 ","output.head                                                                                         "
"RCSCI1_2020-09-09 22:45:03.856.21 ","output.row                                                                                          "
"RCSCI1_2020-09-09 22:48:38.577.94 ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-09 22:48:38.577.94 ","output.head                                                                                         "
"RCSCI1_2020-09-09 22:48:38.577.94 ","output.row                                                                                          "
"RCSCI1_2020-09-10 00:23:52.694.33 ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-10 00:23:52.694.33 ","output.head                                                                                         "
"RCSCI1_2020-09-10 00:23:52.694.33 ","output.row                                                                                          "
"SUPERCM_2020-09-09 11:08:30.574.15","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-09 11:08:30.574.15","output.head                                                                                         "
"SUPERCM_2020-09-09 11:08:30.574.15","output.row                                                                                          "
"SUPERCM_2020-09-09 11:13:36.747.44","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-09 11:13:36.747.44","output.head                                                                                         "
"SUPERCM_2020-09-09 11:13:36.747.44","output.row                                                                                          "
"SUPERCM_2020-09-10 11:02:29.597.3 ","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-10 11:02:29.597.3 ","output.head                                                                                         "
"SUPERCM_2020-09-10 11:02:29.597.3 ","output.row                                                                                          "
"SUPERCM_2020-09-10 11:23:07.745.59","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-10 11:23:07.745.59","output.head                                                                                         "
"SUPERCM_2020-09-10 11:23:07.745.59","output.row                                                                                          "
"SUPERCM_2020-09-10 11:23:36.712.23","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-10 11:23:36.712.23","output.head                                                                                         "
"SUPERCM_2020-09-10 11:23:36.712.23","output.row                                                                                          "
"SUPERCM_2020-09-10 11:28:44.205.49","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-10 11:28:44.205.49","output.head                                                                                         "
"SUPERCM_2020-09-10 11:28:44.205.49","output.row                                                                                          "
"SUPERCM_2020-09-11 04:22:09.719.53","explodeAcceptedSel.input.head                                                                       "
"SUPERCM_2020-09-11 04:22:09.719.53","output.head                                                                                         "
"SUPERCM_2020-09-11 04:22:09.719.53","output.row                                                                                          "
"SUPERCM_2020-09-11 11:05:48.652.82","output.head                                                                                         "
"SUPERCM_2020-09-11 11:05:48.652.82","output.row                                                                                          "
"SUPERCM_2020-09-11 11:05:48.652.82","readUniqueRStateAllRStateStrucInfoTyp.input.head                                                    "
"V1DPRO_2020-09-09 11:56:01.085.1  ","output.head                                                                                         "
"V1DPRO_2020-09-09 11:56:01.085.1  ","retrieveProductBasic.input.row                                                                      "
"V1DPRO_2020-09-09 11:56:01.085.1  ","retrieveProductBasic.output.row                                                                     "
"V1DPRO_2020-09-09 11:56:01.085.1  ","retrieveProductData.input.row                                                                       "
"V1DPRO_2020-09-09 11:56:01.085.1  ","retrieveProductRstate.output.row                                                                    "
"V1DPRO_2020-09-09 11:58:37.479.35 ","output.head                                                                                         "
"V1DPRO_2020-09-09 11:58:37.479.35 ","retrieveProductBasic.input.row                                                                      "
"V1DPRO_2020-09-09 11:58:37.479.35 ","retrieveProductBasic.output.row                                                                     "
"V1DPRO_2020-09-09 11:58:37.479.35 ","retrieveProductData.input.row                                                                       "
"V1DPRO_2020-09-09 11:58:37.479.35 ","retrieveProductRstate.output.row                                                                    "
"V2PDRW_2020-09-09 12:00:53.524.30 ","output.head                                                                                         "
"V2PDRW_2020-09-09 12:00:53.524.30 ","retrieveProductBasic.input.row                                                                      "
"V2PDRW_2020-09-09 12:00:53.524.30 ","retrieveProductBasic.output.row                                                                     "
"V2PDRW_2020-09-09 12:00:53.524.30 ","retrieveProductData.input.row                                                                       "
"V2PDRW_2020-09-09 12:00:53.524.30 ","retrieveProductRstate.output.row                                                                    "

